case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject021,sd:2.5,M1 frangi,10.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.5643,0.62
subject021,sd:2.5,M2 band_connect,3.0,3,4,3,1,0,0.75,1.0,0.8571,1.207,1.5,2.121,0.5977,0.1
subject021,sd:2.5,M2 band_connect,5.0,3,4,3,1,0,0.75,1.0,0.8571,1.207,1.5,2.121,0.7586,0.1
subject021,sd:2.5,M2 band_connect,6.0,3,4,3,1,0,0.75,1.0,0.8571,1.207,1.5,2.121,0.7988,0.1
subject021,sd:2.5,M2 band_connect,8.0,3,4,3,1,0,0.75,1.0,0.8571,1.207,1.5,2.121,0.8491,0.1
subject021,sd:2.5,M2 band_connect,10.0,3,4,3,1,0,0.75,1.0,0.8571,1.207,1.5,2.121,0.8793,0.1
subject021,sd:2.5,M3 expansion,3.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.431,0.13
subject021,sd:2.5,M3 expansion,5.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.6586,0.13
subject021,sd:2.5,M3 expansion,6.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.7155,0.13
subject021,sd:2.5,M3 expansion,8.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.7866,0.13
subject021,sd:2.5,M3 expansion,10.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.8293,0.13
subject021,sd:2.5,M4 wall_flux,3.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:2.5,M4 wall_flux,5.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:2.5,M4 wall_flux,6.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:2.5,M4 wall_flux,8.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:2.5,M4 wall_flux,10.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:3,M1 frangi,3.0,3,4,1,3,2,0.25,0.3333,0.2857,2.121,2.121,2.121,0.293,0.57
subject021,sd:3,M1 frangi,5.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.3637,0.57
subject021,sd:3,M1 frangi,6.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.4697,0.57
subject021,sd:3,M1 frangi,8.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.4554,0.57
subject021,sd:3,M1 frangi,10.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.5643,0.57
subject021,sd:3,M2 band_connect,3.0,3,7,3,4,0,0.4286,1.0,0.6,1.207,1.5,2.121,0.5977,0.13
subject021,sd:3,M2 band_connect,5.0,3,7,3,4,0,0.4286,1.0,0.6,1.207,1.5,2.121,0.7586,0.13
subject021,sd:3,M2 band_connect,6.0,3,7,3,4,0,0.4286,1.0,0.6,1.207,1.5,2.121,0.7988,0.13
subject021,sd:3,M2 band_connect,8.0,3,7,3,4,0,0.4286,1.0,0.6,1.207,1.5,2.121,0.8491,0.13
subject021,sd:3,M2 band_connect,10.0,3,7,3,4,0,0.4286,1.0,0.6,1.207,1.5,2.121,0.8793,0.13
subject021,sd:3,M3 expansion,3.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.431,0.13
subject021,sd:3,M3 expansion,5.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.6586,0.13
subject021,sd:3,M3 expansion,6.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.7155,0.13
subject021,sd:3,M3 expansion,8.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.7866,0.13
subject021,sd:3,M3 expansion,10.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.8293,0.13
subject021,sd:3,M4 wall_flux,3.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:3,M4 wall_flux,5.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:3,M4 wall_flux,6.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:3,M4 wall_flux,8.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:3,M4 wall_flux,10.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:3.5,M1 frangi,3.0,3,4,1,3,2,0.25,0.3333,0.2857,2.121,2.121,2.121,0.293,0.59
subject021,sd:3.5,M1 frangi,5.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.3637,0.59
subject021,sd:3.5,M1 frangi,6.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.4697,0.59
subject021,sd:3.5,M1 frangi,8.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.4554,0.59
subject021,sd:3.5,M1 frangi,10.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.5643,0.59
subject021,sd:3.5,M2 band_connect,3.0,3,8,3,5,0,0.375,1.0,0.5455,1.414,2.121,2.121,0.5287,0.14
subject021,sd:3.5,M2 band_connect,5.0,3,8,3,5,0,0.375,1.0,0.5455,1.414,2.121,2.121,0.7172,0.14
subject021,sd:3.5,M2 band_connect,6.0,3,8,3,5,0,0.375,1.0,0.5455,1.414,2.121,2.121,0.7643,0.14
subject021,sd:3.5,M2 band_connect,8.0,3,8,3,5,0,0.375,1.0,0.5455,1.414,2.121,2.121,0.8232,0.14
subject021,sd:3.5,M2 band_connect,10.0,3,8,3,5,0,0.375,1.0,0.5455,1.414,2.121,2.121,0.8586,0.14
subject021,sd:3.5,M3 expansion,3.0,3,10,1,9,2,0.1,0.3333,0.1538,2.121,2.121,2.121,0.2931,0.13
subject021,sd:3.5,M3 expansion,5.0,3,10,1,9,2,0.1,0.3333,0.1538,2.121,2.121,2.121,0.5758,0.13
subject021,sd:3.5,M3 expansion,6.0,3,10,1,9,2,0.1,0.3333,0.1538,2.121,2.121,2.121,0.6465,0.13
subject021,sd:3.5,M3 expansion,8.0,3,10,2,8,1,0.2,0.6667,0.3077,4.497,4.497,6.873,0.4379,0.13
subject021,sd:3.5,M3 expansion,10.0,3,10,2,8,1,0.2,0.6667,0.3077,4.497,4.497,6.873,0.5503,0.13
subject021,sd:3.5,M4 wall_flux,3.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:3.5,M4 wall_flux,5.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:3.5,M4 wall_flux,6.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:3.5,M4 wall_flux,8.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:3.5,M4 wall_flux,10.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,v2,M1 frangi,3.0,3,3,0,3,3,0.0,0.0,0.0,,,,0.0,0.55
subject021,v2,M1 frangi,5.0,3,3,2,1,1,0.6667,0.6667,0.6667,3.958,3.958,4.242,0.2084,0.55
subject021,v2,M1 frangi,6.0,3,3,2,1,1,0.6667,0.6667,0.6667,3.958,3.958,4.242,0.3403,0.55
subject021,v2,M1 frangi,8.0,3,3,3,0,0,1.0,1.0,1.0,4.875,4.242,6.708,0.3907,0.55
subject021,v2,M1 frangi,10.0,3,3,3,0,0,1.0,1.0,1.0,4.875,4.242,6.708,0.5125,0.55
subject021,v2,M2 band_connect,3.0,3,6,2,4,1,0.3333,0.6667,0.4444,1.061,1.061,2.121,0.6464,0.1
subject021,v2,M2 band_connect,5.0,3,6,3,3,0,0.5,1.0,0.6667,1.825,2.121,3.354,0.635,0.1
subject021,v2,M2 band_connect,6.0,3,6,3,3,0,0.5,1.0,0.6667,1.825,2.121,3.354,0.6958,0.1
subject021,v2,M2 band_connect,8.0,3,6,3,3,0,0.5,1.0,0.6667,1.825,2.121,3.354,0.7719,0.1
subject021,v2,M2 band_connect,10.0,3,6,3,3,0,0.5,1.0,0.6667,1.825,2.121,3.354,0.8175,0.1
subject021,v2,M3 expansion,3.0,3,8,2,6,1,0.25,0.6667,0.3636,1.811,1.811,2.121,0.3965,0.13
subject021,v2,M3 expansion,5.0,3,8,3,5,0,0.375,1.0,0.5455,2.325,2.121,3.354,0.535,0.13
subject021,v2,M3 expansion,6.0,3,8,3,5,0,0.375,1.0,0.5455,2.325,2.121,3.354,0.6125,0.13
subject021,v2,M3 expansion,8.0,3,8,3,5,0,0.375,1.0,0.5455,2.325,2.121,3.354,0.7094,0.13
subject021,v2,M3 expansion,10.0,3,8,3,5,0,0.375,1.0,0.5455,2.325,2.121,3.354,0.7675,0.13
subject021,v2,M4 wall_flux,3.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,v2,M4 wall_flux,5.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,v2,M4 wall_flux,6.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,v2,M4 wall_flux,8.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,v2,M4 wall_flux,10.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
