case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject021,sd:3,M1 frangi,10.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.5643,0.58
subject021,sd:3,M2 band_connect,3.0,3,7,3,4,0,0.4286,1.0,0.6,1.207,1.5,2.121,0.5977,0.12
subject021,sd:3,M2 band_connect,5.0,3,7,3,4,0,0.4286,1.0,0.6,1.207,1.5,2.121,0.7586,0.12
subject021,sd:3,M2 band_connect,6.0,3,7,3,4,0,0.4286,1.0,0.6,1.207,1.5,2.121,0.7988,0.12
subject021,sd:3,M2 band_connect,8.0,3,7,3,4,0,0.4286,1.0,0.6,1.207,1.5,2.121,0.8491,0.12
subject021,sd:3,M2 band_connect,10.0,3,7,3,4,0,0.4286,1.0,0.6,1.207,1.5,2.121,0.8793,0.12
subject021,sd:3,M3 expansion,3.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.431,0.12
subject021,sd:3,M3 expansion,5.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.6586,0.12
subject021,sd:3,M3 expansion,6.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.7155,0.12
subject021,sd:3,M3 expansion,8.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.7866,0.12
subject021,sd:3,M3 expansion,10.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.8293,0.12
subject021,sd:3+r5,M1 frangi,3.0,3,4,1,3,2,0.25,0.3333,0.2857,2.121,2.121,2.121,0.293,0.58
subject021,sd:3+r5,M1 frangi,5.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.3637,0.58
