case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject021,sd:3+f280,M3 expansion,6.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.7155,0.13
subject021,sd:3+f280,M3 expansion,8.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.7866,0.13
subject021,sd:3+f280,M3 expansion,10.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.8293,0.13
subject021,sd:3+f280+r5,M3 expansion,3.0,3,5,3,2,0,0.6,1.0,0.75,1.707,1.5,2.121,0.431,0.11
subject021,sd:3+f280+r5,M3 expansion,5.0,3,5,3,2,0,0.6,1.0,0.75,1.707,1.5,2.121,0.6586,0.11
subject021,sd:3+f280+r5,M3 expansion,6.0,3,5,3,2,0,0.6,1.0,0.75,1.707,1.5,2.121,0.7155,0.11
subject021,sd:3+f280+r5,M3 expansion,8.0,3,5,3,2,0,0.6,1.0,0.75,1.707,1.5,2.121,0.7866,0.11
subject021,sd:3+f280+r5,M3 expansion,10.0,3,5,3,2,0,0.6,1.0,0.75,1.707,1.5,2.121,0.8293,0.11
subject022,sd:3,M3 expansion,3.0,6,16,4,12,2,0.25,0.6667,0.3636,2.24,2.121,2.598,0.2532,0.27
subject022,sd:3,M3 expansion,5.0,6,16,5,11,1,0.3125,0.8333,0.4545,2.463,2.121,3.354,0.5074,0.27
subject022,sd:3,M3 expansion,6.0,6,16,5,11,1,0.3125,0.8333,0.4545,2.463,2.121,3.354,0.5895,0.27
subject022,sd:3,M3 expansion,8.0,6,16,5,11,1,0.3125,0.8333,0.4545,2.463,2.121,3.354,0.6921,0.27
subject022,sd:3,M3 expansion,10.0,6,16,5,11,1,0.3125,0.8333,0.4545,2.463,2.121,3.354,0.7537,0.27
subject022,sd:3+r5,M3 expansion,3.0,6,10,4,6,2,0.4,0.6667,0.5,2.24,2.121,2.598,0.2532,0.21
subject022,sd:3+r5,M3 expansion,5.0,6,10,5,5,1,0.5,0.8333,0.625,2.463,2.121,3.354,0.5074,0.21
subject022,sd:3+r5,M3 expansion,6.0,6,10,5,5,1,0.5,0.8333,0.625,2.463,2.121,3.354,0.5895,0.21
subject022,sd:3+r5,M3 expansion,8.0,6,10,5,5,1,0.5,0.8333,0.625,2.463,2.121,3.354,0.6921,0.21
subject022,sd:3+r5,M3 expansion,10.0,6,10,5,5,1,0.5,0.8333,0.625,2.463,2.121,3.354,0.7537,0.21
subject022,sd:3+f230,M3 expansion,3.0,6,3,2,1,4,0.6667,0.3333,0.4444,1.81,1.81,2.121,0.3965,0.19
subject022,sd:3+f230,M3 expansion,5.0,6,3,3,0,3,1.0,0.5,0.6667,2.432,2.121,3.674,0.5137,0.19
subject022,sd:3+f230,M3 expansion,6.0,6,3,3,0,3,1.0,0.5,0.6667,2.432,2.121,3.674,0.5947,0.19
subject022,sd:3+f230,M3 expansion,8.0,6,3,3,0,3,1.0,0.5,0.6667,2.432,2.121,3.674,0.6961,0.19
subject022,sd:3+f230,M3 expansion,10.0,6,3,3,0,3,1.0,0.5,0.6667,2.432,2.121,3.674,0.7568,0.19
subject022,sd:3+f230+r5,M3 expansion,3.0,6,3,2,1,4,0.6667,0.3333,0.4444,1.81,1.81,2.121,0.3965,0.16
subject022,sd:3+f230+r5,M3 expansion,5.0,6,3,3,0,3,1.0,0.5,0.6667,2.432,2.121,3.674,0.5137,0.16
subject022,sd:3+f230+r5,M3 expansion,6.0,6,3,3,0,3,1.0,0.5,0.6667,2.432,2.121,3.674,0.5947,0.16
subject022,sd:3+f230+r5,M3 expansion,8.0,6,3,3,0,3,1.0,0.5,0.6667,2.432,2.121,3.674,0.6961,0.16
subject022,sd:3+f230+r5,M3 expansion,10.0,6,3,3,0,3,1.0,0.5,0.6667,2.432,2.121,3.674,0.7568,0.16
subject022,sd:3+f250,M3 expansion,3.0,6,3,3,0,3,1.0,0.5,0.6667,2.207,2.121,3.0,0.2644,0.18
subject022,sd:3+f250,M3 expansion,5.0,6,3,3,0,3,1.0,0.5,0.6667,2.207,2.121,3.0,0.5586,0.18
subject022,sd:3+f250,M3 expansion,6.0,6,3,3,0,3,1.0,0.5,0.6667,2.207,2.121,3.0,0.6322,0.18
subject022,sd:3+f250,M3 expansion,8.0,6,3,3,0,3,1.0,0.5,0.6667,2.207,2.121,3.0,0.7242,0.18
subject022,sd:3+f250,M3 expansion,10.0,6,3,3,0,3,1.0,0.5,0.6667,2.207,2.121,3.0,0.7793,0.18
subject022,sd:3+f250+r5,M3 expansion,3.0,6,2,2,0,4,1.0,0.3333,0.5,1.81,1.81,2.121,0.3966,0.16
subject022,sd:3+f250+r5,M3 expansion,5.0,6,2,2,0,4,1.0,0.3333,0.5,1.81,1.81,2.121,0.6379,0.16
subject022,sd:3+f250+r5,M3 expansion,6.0,6,2,2,0,4,1.0,0.3333,0.5,1.81,1.81,2.121,0.6983,0.16
subject022,sd:3+f250+r5,M3 expansion,8.0,6,2,2,0,4,1.0,0.3333,0.5,1.81,1.81,2.121,0.7737,0.16
subject022,sd:3+f250+r5,M3 expansion,10.0,6,2,2,0,4,1.0,0.3333,0.5,1.81,1.81,2.121,0.819,0.16
subject022,sd:3+f280,M3 expansion,3.0,6,0,0,0,6,0.0,0.0,0.0,,,,0.0,0.15
subject022,sd:3+f280,M3 expansion,5.0,6,0,0,0,6,0.0,0.0,0.0,,,,0.0,0.15
subject022,sd:3+f280,M3 expansion,6.0,6,0,0,0,6,0.0,0.0,0.0,,,,0.0,0.15
subject022,sd:3+f280,M3 expansion,8.0,6,0,0,0,6,0.0,0.0,0.0,,,,0.0,0.15
subject022,sd:3+f280,M3 expansion,10.0,6,0,0,0,6,0.0,0.0,0.0,,,,0.0,0.15
subject022,sd:3+f280+r5,M3 expansion,3.0,6,0,0,0,6,0.0,0.0,0.0,,,,0.0,0.14
subject022,sd:3+f280+r5,M3 expansion,5.0,6,0,0,0,6,0.0,0.0,0.0,,,,0.0,0.14
subject022,sd:3+f280+r5,M3 expansion,6.0,6,0,0,0,6,0.0,0.0,0.0,,,,0.0,0.14
subject022,sd:3+f280+r5,M3 expansion,8.0,6,0,0,0,6,0.0,0.0,0.0,,,,0.0,0.14
subject022,sd:3+f280+r5,M3 expansion,10.0,6,0,0,0,6,0.0,0.0,0.0,,,,0.0,0.14
subject023,sd:3,M3 expansion,3.0,3,4,1,3,2,0.25,0.3333,0.2857,1.5,1.5,1.5,0.4999,0.05
subject023,sd:3,M3 expansion,5.0,3,4,1,3,2,0.25,0.3333,0.2857,1.5,1.5,1.5,0.6999,0.05
subject023,sd:3,M3 expansion,6.0,3,4,1,3,2,0.25,0.3333,0.2857,1.5,1.5,1.5,0.7499,0.05
subject023,sd:3,M3 expansion,8.0,3,4,2,2,1,0.5,0.6667,0.5714,3.75,3.75,6.0,0.5312,0.05
subject023,sd:3,M3 expansion,10.0,3,4,2,2,1,0.5,0.6667,0.5714,3.75,3.75,6.0,0.625,0.05
subject023,sd:3+r5,M3 expansion,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject023,sd:3+r5,M3 expansion,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject023,sd:3+r5,M3 expansion,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject023,sd:3+r5,M3 expansion,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject023,sd:3+r5,M3 expansion,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject023,sd:3+f230,M3 expansion,3.0,3,1,1,0,2,1.0,0.3333,0.5,2.121,2.121,2.121,0.293,0.05
subject023,sd:3+f230,M3 expansion,5.0,3,1,1,0,2,1.0,0.3333,0.5,2.121,2.121,2.121,0.5758,0.05
subject023,sd:3+f230,M3 expansion,6.0,3,1,1,0,2,1.0,0.3333,0.5,2.121,2.121,2.121,0.6465,0.05
subject023,sd:3+f230,M3 expansion,8.0,3,1,1,0,2,1.0,0.3333,0.5,2.121,2.121,2.121,0.7349,0.05
subject023,sd:3+f230,M3 expansion,10.0,3,1,1,0,2,1.0,0.3333,0.5,2.121,2.121,2.121,0.7879,0.05
subject023,sd:3+f230+r5,M3 expansion,3.0,3,1,1,0,2,1.0,0.3333,0.5,2.121,2.121,2.121,0.293,0.05
subject023,sd:3+f230+r5,M3 expansion,5.0,3,1,1,0,2,1.0,0.3333,0.5,2.121,2.121,2.121,0.5758,0.05
subject023,sd:3+f230+r5,M3 expansion,6.0,3,1,1,0,2,1.0,0.3333,0.5,2.121,2.121,2.121,0.6465,0.05
subject023,sd:3+f230+r5,M3 expansion,8.0,3,1,1,0,2,1.0,0.3333,0.5,2.121,2.121,2.121,0.7349,0.05
subject023,sd:3+f230+r5,M3 expansion,10.0,3,1,1,0,2,1.0,0.3333,0.5,2.121,2.121,2.121,0.7879,0.05
subject023,sd:3+f250,M3 expansion,3.0,3,2,1,1,2,0.5,0.3333,0.4,2.598,2.598,2.598,0.1341,0.05
subject023,sd:3+f250,M3 expansion,5.0,3,2,1,1,2,0.5,0.3333,0.4,2.598,2.598,2.598,0.4805,0.05
subject023,sd:3+f250,M3 expansion,6.0,3,2,1,1,2,0.5,0.3333,0.4,2.598,2.598,2.598,0.5671,0.05
subject023,sd:3+f250,M3 expansion,8.0,3,2,1,1,2,0.5,0.3333,0.4,2.598,2.598,2.598,0.6753,0.05
subject023,sd:3+f250,M3 expansion,10.0,3,2,1,1,2,0.5,0.3333,0.4,2.598,2.598,2.598,0.7402,0.05
subject023,sd:3+f250+r5,M3 expansion,3.0,3,2,1,1,2,0.5,0.3333,0.4,2.598,2.598,2.598,0.1341,0.05
subject023,sd:3+f250+r5,M3 expansion,5.0,3,2,1,1,2,0.5,0.3333,0.4,2.598,2.598,2.598,0.4805,0.05
subject023,sd:3+f250+r5,M3 expansion,6.0,3,2,1,1,2,0.5,0.3333,0.4,2.598,2.598,2.598,0.5671,0.05
